name,dex,gen,region,type1,type2,color_primary,color_secondary,abilities,genus,shape,habitat,evo,family,stage,gender,legendary,mythical,baby,hp,attack,defense,sp_attack,sp_defense,speed,weight_kg,height_m,egg_groups,stat_standouts,arch,sprite,moves,lore,mythology,location,trainer,role,other,well_known
Entei,244,2,Johto,fire,,brown,,"Pressure, Inner Focus",Volcano Pokémon,quadruped,grassland,none,Entei,0,genderless,True,False,False,115,115,85,90,75,100,198.0,2.1,no-eggs,fast,,,,,,,,legendary,,1
Suicune,245,2,Johto,water,,blue,,"Pressure, Inner Focus",Aurora Pokémon,quadruped,grassland,none,Suicune,0,genderless,True,False,False,100,75,115,90,115,85,187.0,2.0,no-eggs,tanky,,,,,,,,legendary,,1
Larvitar,246,2,Johto,rock,ground,green,,"Guts, Sand Veil",Rock Skin Pokémon,upright,mountain,none,Larvitar,0,both,False,False,False,50,64,50,45,50,41,72.0,0.6,monster,,,,,,,,,,,0
Pupitar,247,2,Johto,rock,ground,gray,,Shed Skin,Hard Shell Pokémon,squiggle,mountain,level,Larvitar,1,both,False,False,False,70,84,70,65,70,51,152.0,1.2,monster,,,,,,,,,,,0
Tyranitar,248,2,Johto,rock,dark,green,,"Sand Stream, Unnerve",Armor Pokémon,upright,mountain,level,Larvitar,2,both,False,False,False,100,134,110,95,100,61,202.0,2.0,monster,"atk, tanky",dinosaur,"dino, sandstorm",,,,,,"pseudo, mega",,1
Lugia,249,2,Johto,psychic,flying,white,,"Pressure, Multiscale",Diving Pokémon,wings,rare,none,Lugia,0,genderless,True,False,False,106,90,130,90,154,110,216.0,5.2,no-eggs,"fast, tanky",,,,,,,,legendary,,1
Ho-Oh,250,2,Johto,fire,flying,red,,"Pressure, Regenerator",Rainbow Pokémon,wings,rare,none,Ho-Oh,0,genderless,True,False,False,106,130,90,110,154,90,199.0,3.8,no-eggs,"atk, tanky",,,,,,,,legendary,,1
Celebi,251,2,Johto,psychic,grass,green,,Natural Cure,Time Travel Pokémon,humanoid,forest,none,Celebi,0,genderless,False,True,False,100,100,100,100,100,100,5.0,0.6,no-eggs,"fast, tanky",,,,,,,,mythical,,1
Treecko,252,3,Hoenn,grass,,green,,"Overgrow, Unburden",Wood Gecko Pokémon,upright,forest,none,Treecko,0,both,False,False,False,40,45,35,65,55,70,5.0,0.5,"monster, dragon",,,,,,,,,,,0
Grovyle,253,3,Hoenn,grass,,green,,"Overgrow, Unburden",Wood Gecko Pokémon,upright,forest,level,Treecko,1,both,False,False,False,50,65,45,85,65,95,21.6,0.9,"monster, dragon",,,,,,,,,,,0
Sceptile,254,3,Hoenn,grass,,green,,"Overgrow, Unburden",Forest Pokémon,upright,forest,level,Treecko,2,both,False,False,False,70,85,65,105,85,120,52.2,1.7,"monster, dragon",fast,"reptile, gecko","leaf-blade, tail",,,,,,"starter, mega",,1
Torchic,255,3,Hoenn,fire,,red,,"Blaze, Speed Boost",Chick Pokémon,legs,grassland,none,Torchic,0,both,False,False,False,45,60,40,70,50,45,2.5,0.4,ground,light,,,,,,,,,,0
Combusken,256,3,Hoenn,fire,fighting,red,,"Blaze, Speed Boost",Young Fowl Pokémon,upright,grassland,level,Torchic,1,both,False,False,False,60,85,60,85,60,55,19.5,0.9,ground,,,,,,,,,,,0
Blaziken,257,3,Hoenn,fire,fighting,red,,"Blaze, Speed Boost",Blaze Pokémon,upright,grassland,level,Torchic,2,both,False,False,False,80,120,70,110,70,80,52.0,1.9,ground,atk,bird,"kick, talons",,,,,,"starter, mega",,1
Mudkip,258,3,Hoenn,water,,blue,,"Torrent, Damp",Mud Fish Pokémon,quadruped,waters-edge,none,Mudkip,0,both,False,False,False,50,70,50,50,50,40,7.6,0.4,"monster, water1",,,,,,,,,,,0
Marshtomp,259,3,Hoenn,water,ground,blue,,"Torrent, Damp",Mud Fish Pokémon,upright,waters-edge,level,Mudkip,1,both,False,False,False,70,85,70,60,70,50,28.0,0.7,"monster, water1",,,,,,,,,,,0
Swampert,260,3,Hoenn,water,ground,blue,,"Torrent, Damp",Mud Fish Pokémon,upright,waters-edge,level,Mudkip,2,both,False,False,False,100,110,90,85,90,60,81.9,1.5,"monster, water1",tanky,"amphibian, mudfish","mud, fins",,,,,,"starter, mega",,1
Poochyena,261,3,Hoenn,dark,,gray,,"Run Away, Quick Feet, Rattled",Bite Pokémon,quadruped,grassland,none,Poochyena,0,both,False,False,False,35,55,35,30,30,35,13.6,0.5,ground,,,,,,,,,,,0
Mightyena,262,3,Hoenn,dark,,gray,,"Intimidate, Quick Feet, Moxie",Bite Pokémon,quadruped,grassland,level,Poochyena,1,both,False,False,False,70,90,70,60,60,70,37.0,1.0,ground,,,,,,,,,,,0
Zigzagoon,263,3,Hoenn,normal,,brown,,"Pickup, Gluttony, Quick Feet",Tiny Raccoon Pokémon,quadruped,grassland,none,Zigzagoon,0,both,False,False,False,38,30,41,30,41,60,17.5,0.4,ground,,,,,,,,,,,0
Linoone,264,3,Hoenn,normal,,white,,"Pickup, Gluttony, Quick Feet",Rushing Pokémon,quadruped,grassland,level,Zigzagoon,1,both,False,False,False,78,70,61,50,61,100,32.5,0.5,ground,fast,,,,,,,,,,0
Wurmple,265,3,Hoenn,bug,,red,,"Shield Dust, Run Away",Worm Pokémon,armor,forest,none,Wurmple,0,both,False,False,False,45,45,35,20,30,20,3.6,0.3,bug,,,,,,,,,,,0
Silcoon,266,3,Hoenn,bug,,white,,Shed Skin,Cocoon Pokémon,ball,forest,level,Wurmple,1,both,False,False,False,50,35,55,25,25,15,10.0,0.6,bug,,,,,,,,,,,0
Beautifly,267,3,Hoenn,bug,flying,yellow,,"Swarm, Rivalry",Butterfly Pokémon,bug-wings,forest,level,Wurmple,2,both,False,False,False,60,70,50,100,50,65,28.4,1.0,bug,,,,,,,,,,,0
Cascoon,268,3,Hoenn,bug,,purple,,Shed Skin,Cocoon Pokémon,ball,forest,level,Wurmple,1,both,False,False,False,50,35,55,25,25,15,11.5,0.7,bug,,,,,,,,,,,0
Dustox,269,3,Hoenn,bug,poison,green,,"Shield Dust, Compound Eyes",Poison Moth Pokémon,bug-wings,forest,level,Wurmple,2,both,False,False,False,60,50,70,50,90,65,31.6,1.2,bug,,,,,,,,,,,0
Lotad,270,3,Hoenn,water,grass,green,,"Swift Swim, Rain Dish, Own Tempo",Water Weed Pokémon,armor,waters-edge,none,Lotad,0,both,False,False,False,40,30,30,40,50,30,2.6,0.5,"water1, plant",light,,,,,,,,,,0
Lombre,271,3,Hoenn,water,grass,green,,"Swift Swim, Rain Dish, Own Tempo",Jolly Pokémon,humanoid,waters-edge,level,Lotad,1,both,False,False,False,60,50,50,60,70,50,32.5,1.2,"water1, plant",,,,,,,,,,,0
Ludicolo,272,3,Hoenn,water,grass,green,,"Swift Swim, Rain Dish, Own Tempo",Carefree Pokémon,humanoid,waters-edge,stone,Lotad,2,both,False,False,False,80,70,70,90,100,70,55.0,1.5,"water1, plant",,,,,,,,,,,0
Seedot,273,3,Hoenn,grass,,brown,,"Chlorophyll, Early Bird, Pickpocket",Acorn Pokémon,legs,forest,none,Seedot,0,both,False,False,False,40,40,50,30,30,30,4.0,0.5,"ground, plant",,,,,,,,,,,0
Nuzleaf,274,3,Hoenn,grass,dark,brown,,"Chlorophyll, Early Bird, Pickpocket",Wily Pokémon,humanoid,forest,level,Seedot,1,both,False,False,False,70,70,40,60,40,60,28.0,1.0,"ground, plant",,,,,,,,,,,0
Shiftry,275,3,Hoenn,grass,dark,brown,,"Chlorophyll, Wind Rider, Pickpocket",Wicked Pokémon,humanoid,forest,stone,Seedot,2,both,False,False,False,90,100,60,90,60,80,59.6,1.3,"ground, plant",,,,,,,,,,,0
Taillow,276,3,Hoenn,normal,flying,blue,,"Guts, Scrappy",Tiny Swallow Pokémon,wings,grassland,none,Taillow,0,both,False,False,False,40,55,30,30,30,85,2.3,0.3,flying,light,,,,,,,,,,0
Swellow,277,3,Hoenn,normal,flying,blue,,"Guts, Scrappy",Swallow Pokémon,wings,grassland,level,Taillow,1,both,False,False,False,60,85,60,75,50,125,19.8,0.7,flying,fast,,,,,,,,,,0
Wingull,278,3,Hoenn,water,flying,white,,"Keen Eye, Hydration, Rain Dish",Seagull Pokémon,wings,sea,none,Wingull,0,both,False,False,False,40,30,30,55,30,85,9.5,0.6,"water1, flying",,,,,,,,,,,0
Pelipper,279,3,Hoenn,water,flying,yellow,,"Keen Eye, Drizzle, Rain Dish",Water Bird Pokémon,wings,sea,level,Wingull,1,both,False,False,False,60,50,100,95,70,65,28.0,1.2,"water1, flying",,,,,,,,,,,0
Ralts,280,3,Hoenn,psychic,fairy,white,,"Synchronize, Trace, Telepathy",Feeling Pokémon,humanoid,urban,none,Ralts,0,both,False,False,False,28,25,25,45,35,40,6.6,0.4,"humanshape, indeterminate",,,,,,,,,,,0
Kirlia,281,3,Hoenn,psychic,fairy,white,,"Synchronize, Trace, Telepathy",Emotion Pokémon,humanoid,urban,level,Ralts,1,both,False,False,False,38,35,35,65,55,50,20.2,0.8,"humanshape, indeterminate",,,,,,,,,,,0
Gardevoir,282,3,Hoenn,psychic,fairy,white,,"Synchronize, Trace, Telepathy",Embrace Pokémon,humanoid,urban,level,Ralts,2,both,False,False,False,68,65,65,125,115,80,48.4,1.6,"humanshape, indeterminate",spatk,,"gown, elegant",,,,,,mega,,1
Surskit,283,3,Hoenn,bug,water,blue,,"Swift Swim, Rain Dish",Pond Skater Pokémon,armor,waters-edge,none,Surskit,0,both,False,False,False,40,30,32,50,52,65,1.7,0.5,"water1, bug",light,,,,,,,,,,0
Masquerain,284,3,Hoenn,bug,flying,blue,,"Intimidate, Unnerve",Eyeball Pokémon,bug-wings,waters-edge,level,Surskit,1,both,False,False,False,70,60,62,100,82,80,3.6,0.8,"water1, bug",,,,,,,,,,,0
Shroomish,285,3,Hoenn,grass,,brown,,"Effect Spore, Poison Heal, Quick Feet",Mushroom Pokémon,legs,forest,none,Shroomish,0,both,False,False,False,60,40,60,40,60,35,4.5,0.4,"fairy, plant",,,,,,,,,,,0
Breloom,286,3,Hoenn,grass,fighting,green,,"Effect Spore, Poison Heal, Technician",Mushroom Pokémon,upright,forest,level,Shroomish,1,both,False,False,False,60,130,80,60,60,70,39.2,1.2,"fairy, plant",atk,,,,,,,,,,0
Slakoth,287,3,Hoenn,normal,,brown,,Truant,Slacker Pokémon,quadruped,forest,none,Slakoth,0,both,False,False,False,60,60,60,35,35,30,24.0,0.8,ground,,,,,,,,,,,0
Vigoroth,288,3,Hoenn,normal,,white,,Vital Spirit,Wild Monkey Pokémon,upright,forest,level,Slakoth,1,both,False,False,False,80,80,80,55,55,90,46.5,1.4,ground,,,,,,,,,,,0
Slaking,289,3,Hoenn,normal,,brown,,Truant,Lazy Pokémon,humanoid,forest,level,Slakoth,2,both,False,False,False,150,160,100,95,65,100,130.5,2.0,ground,"fast, atk",,,,,,,,,,0
Nincada,290,3,Hoenn,bug,ground,gray,,"Compound Eyes, Run Away",Trainee Pokémon,armor,forest,none,Nincada,0,both,False,False,False,31,45,90,30,30,40,5.5,0.5,bug,,,,,,,,,,,0
Ninjask,291,3,Hoenn,bug,flying,yellow,,"Speed Boost, Infiltrator",Ninja Pokémon,bug-wings,forest,level,Nincada,1,both,False,False,False,61,90,45,50,50,160,12.0,0.8,bug,fast,,,,,,,,,,0
Shedinja,292,3,Hoenn,bug,ghost,brown,,Wonder Guard,Shed Pokémon,blob,forest,shed,Nincada,1,genderless,False,False,False,1,90,45,30,30,40,1.2,0.8,mineral,light,,,,,,,,,,0
Whismur,293,3,Hoenn,normal,,pink,,"Soundproof, Rattled",Whisper Pokémon,upright,cave,none,Whismur,0,both,False,False,False,64,51,23,51,23,28,16.3,0.6,"monster, ground",,,,,,,,,,,0
Loudred,294,3,Hoenn,normal,,blue,,"Soundproof, Scrappy",Big Voice Pokémon,upright,cave,level,Whismur,1,both,False,False,False,84,71,43,71,43,48,40.5,1.0,"monster, ground",,,,,,,,,,,0
Exploud,295,3,Hoenn,normal,,blue,,"Soundproof, Scrappy",Loud Noise Pokémon,upright,cave,level,Whismur,2,both,False,False,False,104,91,63,91,73,68,84.0,1.5,"monster, ground",,,,,,,,,,,0
Makuhita,296,3,Hoenn,fighting,,yellow,,"Thick Fat, Guts, Sheer Force",Guts Pokémon,humanoid,mountain,none,Makuhita,0,both,False,False,False,72,60,30,20,30,25,86.4,1.0,humanshape,,,,,,,,,,,0
Hariyama,297,3,Hoenn,fighting,,brown,,"Thick Fat, Guts, Sheer Force",Arm Thrust Pokémon,humanoid,mountain,level,Makuhita,1,both,False,False,False,144,120,60,40,60,50,253.8,2.3,humanshape,"atk, heavy",,,,,,,,,,0
Azurill,298,3,Hoenn,normal,fairy,blue,,"Thick Fat, Huge Power, Sap Sipper",Polka Dot Pokémon,legs,waters-edge,none,Azurill,0,both,False,False,True,50,20,40,20,40,20,2.0,0.2,no-eggs,light,,,,,,,,baby,,0
Nosepass,299,3,Hoenn,rock,,gray,,"Sturdy, Magnet Pull, Sand Force",Compass Pokémon,humanoid,cave,none,Nosepass,0,both,False,False,False,30,45,135,45,90,30,97.0,1.0,mineral,tanky,,,,,,,,,,0
Skitty,300,3,Hoenn,normal,,pink,,"Cute Charm, Normalize, Wonder Skin",Kitten Pokémon,quadruped,forest,none,Skitty,0,both,False,False,False,50,45,45,35,35,50,11.0,0.6,"ground, fairy",,,,,,,,,,,0
Delcatty,301,3,Hoenn,normal,,purple,,"Cute Charm, Normalize, Wonder Skin",Prim Pokémon,quadruped,forest,stone,Skitty,1,both,False,False,False,70,65,65,55,55,90,32.6,1.1,"ground, fairy",,,,,,,,,,,0
Sableye,302,3,Hoenn,dark,ghost,purple,,"Keen Eye, Stall, Prankster",Darkness Pokémon,humanoid,cave,none,Sableye,0,both,False,False,False,50,75,75,65,65,50,11.0,0.5,humanshape,,,"gem-eyes, gremlin",,,folklore,,,mega,,1
Mawile,303,3,Hoenn,steel,fairy,black,,"Hyper Cutter, Intimidate, Sheer Force",Deceiver Pokémon,humanoid,cave,none,Mawile,0,both,False,False,False,50,85,85,55,55,50,11.5,0.6,"ground, fairy",,,,,,,,,,,0
Aron,304,3,Hoenn,steel,rock,gray,,"Sturdy, Rock Head, Heavy Metal",Iron Armor Pokémon,quadruped,mountain,none,Aron,0,both,False,False,False,50,70,100,40,40,30,60.0,0.4,monster,,,,,,,,,,,0
Lairon,305,3,Hoenn,steel,rock,gray,,"Sturdy, Rock Head, Heavy Metal",Iron Armor Pokémon,quadruped,mountain,level,Aron,1,both,False,False,False,60,90,140,50,50,40,120.0,0.9,monster,tanky,,,,,,,,,,0
Aggron,306,3,Hoenn,steel,rock,gray,,"Sturdy, Rock Head, Heavy Metal",Iron Armor Pokémon,upright,mountain,level,Aron,2,both,False,False,False,70,110,180,60,60,50,360.0,2.1,monster,"tanky, heavy",dinosaur,"armour, horns, iron",,,,,,mega,,1
Meditite,307,3,Hoenn,fighting,psychic,blue,,"Pure Power, Telepathy",Meditate Pokémon,humanoid,mountain,none,Meditite,0,both,False,False,False,30,40,55,40,55,60,11.2,0.6,humanshape,,,,,,,,,,,0
Medicham,308,3,Hoenn,fighting,psychic,red,,"Pure Power, Telepathy",Meditate Pokémon,humanoid,mountain,level,Meditite,1,both,False,False,False,60,60,75,60,75,80,31.5,1.3,humanshape,,,,,,,,,,,0
Electrike,309,3,Hoenn,electric,,green,,"Static, Lightning Rod, Minus",Lightning Pokémon,quadruped,grassland,none,Electrike,0,both,False,False,False,40,45,40,65,40,65,15.2,0.6,ground,,,,,,,,,,,0
Manectric,310,3,Hoenn,electric,,yellow,,"Static, Lightning Rod, Minus",Discharge Pokémon,quadruped,grassland,level,Electrike,1,both,False,False,False,70,75,60,105,60,105,40.2,1.5,ground,fast,canine,"mane, jackal",,,,,,mega,,0
Plusle,311,3,Hoenn,electric,,yellow,,"Plus, Lightning Rod",Cheering Pokémon,upright,grassland,none,Plusle,0,both,False,False,False,60,50,40,85,75,95,4.2,0.4,fairy,,,,,,,,,,,0
Minun,312,3,Hoenn,electric,,yellow,,"Minus, Volt Absorb",Cheering Pokémon,upright,grassland,none,Minun,0,both,False,False,False,60,40,50,75,85,95,4.2,0.4,fairy,,,,,,,,,,,0
Volbeat,313,3,Hoenn,bug,,gray,,"Illuminate, Swarm, Prankster",Firefly Pokémon,upright,forest,none,Volbeat,0,male-only,False,False,False,65,73,75,47,85,85,17.7,0.7,"bug, humanshape",,,,,,,,,,,0
Illumise,314,3,Hoenn,bug,,purple,,"Oblivious, Tinted Lens, Prankster",Firefly Pokémon,humanoid,forest,none,Illumise,0,female-only,False,False,False,65,47,75,73,85,85,17.7,0.6,"bug, humanshape",,,,,,,,,,,0
Roselia,315,3,Hoenn,grass,poison,green,,"Natural Cure, Poison Point, Leaf Guard",Thorn Pokémon,humanoid,grassland,friendship,Budew,1,both,False,False,False,50,60,45,100,80,65,2.0,0.3,"fairy, plant",light,,,,,,,,,,0
Gulpin,316,3,Hoenn,poison,,green,,"Liquid Ooze, Sticky Hold, Gluttony",Stomach Pokémon,arms,grassland,none,Gulpin,0,both,False,False,False,70,43,53,43,53,40,10.3,0.4,indeterminate,,,,,,,,,,,0
Swalot,317,3,Hoenn,poison,,purple,,"Liquid Ooze, Sticky Hold, Gluttony",Poison Bag Pokémon,arms,grassland,level,Gulpin,1,both,False,False,False,100,73,83,73,83,55,80.0,1.7,indeterminate,,,,,,,,,,,0
Carvanha,318,3,Hoenn,water,dark,red,,"Rough Skin, Speed Boost",Savage Pokémon,fish,sea,none,Carvanha,0,both,False,False,False,45,90,20,65,20,65,20.8,0.8,water2,,,,,,,,,,,0
Sharpedo,319,3,Hoenn,water,dark,blue,,"Rough Skin, Speed Boost",Brutal Pokémon,fish,sea,level,Carvanha,1,both,False,False,False,70,120,40,95,40,95,88.8,1.8,water2,atk,,,,,,,,,,0
Wailmer,320,3,Hoenn,water,,blue,,"Water Veil, Oblivious, Pressure",Ball Whale Pokémon,fish,sea,none,Wailmer,0,both,False,False,False,130,70,35,70,35,60,130.0,2.0,"ground, water2",,,,,,,,,,,0
Wailord,321,3,Hoenn,water,,blue,,"Water Veil, Oblivious, Pressure",Float Whale Pokémon,fish,sea,level,Wailmer,1,both,False,False,False,170,90,45,90,45,60,398.0,14.5,"ground, water2",heavy,"cetacean, whale","whale, huge, float",,,,,,,,1
Numel,322,3,Hoenn,fire,ground,yellow,,"Oblivious, Simple, Own Tempo",Numb Pokémon,quadruped,mountain,none,Numel,0,both,False,False,False,60,60,40,65,45,35,24.0,0.7,ground,,,,,,,,,,,0
Camerupt,323,3,Hoenn,fire,ground,red,,"Magma Armor, Solid Rock, Anger Point",Eruption Pokémon,quadruped,mountain,level,Numel,1,both,False,False,False,70,100,70,105,75,40,220.0,1.9,ground,,,,,,,,,,,0
Torkoal,324,3,Hoenn,fire,,brown,,"White Smoke, Drought, Shell Armor",Coal Pokémon,quadruped,mountain,none,Torkoal,0,both,False,False,False,70,85,140,85,70,20,80.4,0.5,ground,tanky,,,,,,,,,,0
Spoink,325,3,Hoenn,psychic,,black,,"Thick Fat, Own Tempo, Gluttony",Bounce Pokémon,arms,mountain,none,Spoink,0,both,False,False,False,60,25,35,70,80,60,30.6,0.7,ground,,,,,,,,,,,0
Grumpig,326,3,Hoenn,psychic,,purple,,"Thick Fat, Own Tempo, Gluttony",Manipulate Pokémon,upright,mountain,level,Spoink,1,both,False,False,False,80,45,65,90,110,80,71.5,0.9,ground,,,,,,,,,,,0
Spinda,327,3,Hoenn,normal,,brown,,"Own Tempo, Tangled Feet, Contrary",Spot Panda Pokémon,upright,mountain,none,Spinda,0,both,False,False,False,60,60,60,60,60,60,5.0,1.1,"ground, humanshape",,,,,,,,,,,0
Trapinch,328,3,Hoenn,ground,,brown,,"Hyper Cutter, Arena Trap, Sheer Force",Ant Pit Pokémon,armor,rough-terrain,none,Trapinch,0,both,False,False,False,45,100,45,45,45,10,15.0,0.7,"bug, dragon",,,,,,,,,,,0
Vibrava,329,3,Hoenn,ground,dragon,green,,Levitate,Vibration Pokémon,bug-wings,rough-terrain,level,Trapinch,1,both,False,False,False,50,70,50,50,50,70,15.3,1.1,"bug, dragon",,,,,,,,,,,0
Flygon,330,3,Hoenn,ground,dragon,green,,Levitate,Mystic Pokémon,wings,rough-terrain,level,Trapinch,2,both,False,False,False,80,100,80,80,80,100,82.0,2.0,"bug, dragon",fast,"insect, dragon","goggles, wings, desert-spirit",,,,,,,,1
Cacnea,331,3,Hoenn,grass,,green,,"Sand Veil, Water Absorb",Cactus Pokémon,humanoid,rough-terrain,none,Cacnea,0,both,False,False,False,50,85,40,85,40,35,51.3,0.4,"plant, humanshape",,,,,,,,,,,0
Cacturne,332,3,Hoenn,grass,dark,green,,"Sand Veil, Water Absorb",Scarecrow Pokémon,humanoid,rough-terrain,level,Cacnea,1,both,False,False,False,70,115,60,115,60,55,77.4,1.3,"plant, humanshape",,,,,,,,,,,0
Swablu,333,3,Hoenn,normal,flying,blue,,"Natural Cure, Cloud Nine",Cotton Bird Pokémon,wings,forest,none,Swablu,0,both,False,False,False,45,40,60,40,75,50,1.2,0.4,"flying, dragon",light,,,,,,,,,,0
Altaria,334,3,Hoenn,dragon,flying,blue,,"Natural Cure, Cloud Nine",Humming Pokémon,wings,forest,level,Swablu,1,both,False,False,False,75,70,90,70,105,80,20.6,1.1,"flying, dragon",,,,,,,,,,,0
Zangoose,335,3,Hoenn,normal,,white,,"Immunity, Toxic Boost",Cat Ferret Pokémon,upright,grassland,none,Zangoose,0,both,False,False,False,73,115,60,60,60,90,40.3,1.3,ground,,,,,,,,,,,0
Seviper,336,3,Hoenn,poison,,black,,"Shed Skin, Infiltrator",Fang Snake Pokémon,squiggle,grassland,none,Seviper,0,both,False,False,False,73,100,60,100,60,65,52.5,2.7,"ground, dragon",,,,,,,,,,,0
Lunatone,337,3,Hoenn,rock,psychic,yellow,,Levitate,Meteorite Pokémon,ball,cave,none,Lunatone,0,genderless,False,False,False,90,55,65,95,85,70,168.0,1.0,mineral,,,,,,,,,,,0
Solrock,338,3,Hoenn,rock,psychic,red,,Levitate,Meteorite Pokémon,ball,cave,none,Solrock,0,genderless,False,False,False,90,95,85,55,65,70,154.0,1.2,mineral,,,,,,,,,,,0
Barboach,339,3,Hoenn,water,ground,gray,,"Oblivious, Anticipation, Hydration",Whiskers Pokémon,fish,waters-edge,none,Barboach,0,both,False,False,False,50,48,43,46,41,60,1.9,0.4,water2,light,,,,,,,,,,0
Whiscash,340,3,Hoenn,water,ground,blue,,"Oblivious, Anticipation, Hydration",Whiskers Pokémon,fish,waters-edge,level,Barboach,1,both,False,False,False,110,78,73,76,71,60,23.6,0.9,water2,,,,,,,,,,,0
Corphish,341,3,Hoenn,water,,red,,"Hyper Cutter, Shell Armor, Adaptability",Ruffian Pokémon,armor,waters-edge,none,Corphish,0,both,False,False,False,43,80,65,50,35,35,11.5,0.6,"water1, water3",,,,,,,,,,,0
Crawdaunt,342,3,Hoenn,water,dark,red,,"Hyper Cutter, Shell Armor, Adaptability",Rogue Pokémon,armor,waters-edge,level,Corphish,1,both,False,False,False,63,120,85,90,55,55,32.8,1.1,"water1, water3",atk,,,,,,,,,,0
Baltoy,343,3,Hoenn,ground,psychic,brown,,Levitate,Clay Doll Pokémon,arms,rough-terrain,none,Baltoy,0,genderless,False,False,False,40,40,55,40,70,55,21.5,0.5,mineral,,,,,,,,,,,0
Claydol,344,3,Hoenn,ground,psychic,black,,Levitate,Clay Doll Pokémon,arms,rough-terrain,level,Baltoy,1,genderless,False,False,False,60,70,105,70,120,75,108.0,1.5,mineral,,,,,,,,,,,0
Lileep,345,3,Hoenn,rock,grass,purple,,"Suction Cups, Storm Drain",Sea Lily Pokémon,blob,sea,none,Lileep,0,both,False,False,False,66,41,77,61,87,23,23.8,1.0,water3,,,,,,,,,,,0
Cradily,346,3,Hoenn,rock,grass,green,,"Suction Cups, Storm Drain",Barnacle Pokémon,blob,sea,level,Lileep,1,both,False,False,False,86,81,97,81,107,43,60.4,1.5,water3,,,,,,,,,,,0
Anorith,347,3,Hoenn,rock,bug,gray,,"Battle Armor, Swift Swim",Old Shrimp Pokémon,armor,waters-edge,none,Anorith,0,both,False,False,False,45,95,50,40,50,75,12.5,0.7,water3,,,,,,,,,,,0
Armaldo,348,3,Hoenn,rock,bug,gray,,"Battle Armor, Swift Swim",Plate Pokémon,upright,waters-edge,level,Anorith,1,both,False,False,False,75,125,100,70,80,45,68.2,1.5,water3,atk,,,,,,,,,,0
Feebas,349,3,Hoenn,water,,brown,,"Swift Swim, Oblivious, Adaptability",Fish Pokémon,fish,waters-edge,none,Feebas,0,both,False,False,False,20,15,20,10,55,80,7.4,0.6,"water1, dragon",,,,,,,,,,,0
Milotic,350,3,Hoenn,water,,pink,,"Marvel Scale, Competitive, Cute Charm",Tender Pokémon,squiggle,waters-edge,level,Feebas,1,both,False,False,False,95,60,79,100,125,81,162.0,6.2,"water1, dragon",,"fish, serpent, eel","ribbon, elegant, tender",,,,,,,,1
Castform,351,3,Hoenn,normal,,gray,,Forecast,Weather Pokémon,ball,grassland,none,Castform,0,both,False,False,False,70,70,70,70,70,70,0.8,0.3,"fairy, indeterminate",light,,,,,,,,,,0
Kecleon,352,3,Hoenn,normal,,green,,"Color Change, Protean",Color Swap Pokémon,upright,forest,none,Kecleon,0,both,False,False,False,60,90,70,60,120,40,22.0,1.0,ground,,,,,,,,,,,0
Shuppet,353,3,Hoenn,ghost,,black,,"Insomnia, Frisk, Cursed Body",Puppet Pokémon,ball,urban,none,Shuppet,0,both,False,False,False,44,75,35,63,33,45,2.3,0.6,indeterminate,light,,,,,,,,,,0
Banette,354,3,Hoenn,ghost,,black,,"Insomnia, Frisk, Cursed Body",Marionette Pokémon,upright,urban,level,Shuppet,1,both,False,False,False,64,115,65,83,63,65,12.5,1.1,indeterminate,,,,,,,,,,,0
Duskull,355,3,Hoenn,ghost,,black,,"Levitate, Frisk",Requiem Pokémon,arms,forest,none,Duskull,0,both,False,False,False,20,40,90,30,90,25,15.0,0.8,indeterminate,,,,,,,,,,,0
Dusclops,356,3,Hoenn,ghost,,black,,"Pressure, Frisk",Beckon Pokémon,humanoid,forest,level,Duskull,1,both,False,False,False,40,70,130,60,130,25,30.6,1.6,indeterminate,tanky,,,,,,,,,,0
Tropius,357,3,Hoenn,grass,flying,green,,"Chlorophyll, Solar Power, Harvest",Fruit Pokémon,quadruped,forest,none,Tropius,0,both,False,False,False,99,68,83,72,87,51,100.0,2.0,"monster, plant",,,,,,,,,,,0
Chimecho,358,3,Hoenn,psychic,,blue,,Levitate,Wind Chime Pokémon,arms,grassland,friendship,Chingling,1,both,False,False,False,75,50,80,95,90,65,1.0,0.6,indeterminate,light,,,,,,,,,,0
Absol,359,3,Hoenn,dark,,white,,"Pressure, Super Luck, Justified",Disaster Pokémon,quadruped,mountain,none,Absol,0,both,False,False,False,65,130,60,75,60,75,47.0,1.2,ground,atk,"feline, canine","horn, scythe-horn",,disaster,,,,mega,,1
Wynaut,360,3,Hoenn,psychic,,blue,,"Shadow Tag, Telepathy",Bright Pokémon,upright,cave,none,Wynaut,0,both,False,False,True,95,23,48,23,48,23,14.0,0.6,no-eggs,,,,,,,,,baby,,0
Snorunt,361,3,Hoenn,ice,,gray,,"Inner Focus, Ice Body, Moody",Snow Hat Pokémon,humanoid,cave,none,Snorunt,0,both,False,False,False,50,50,50,50,50,50,16.8,0.7,"fairy, mineral",,,,,,,,,,,0
Glalie,362,3,Hoenn,ice,,gray,,"Inner Focus, Ice Body, Moody",Face Pokémon,ball,cave,level,Snorunt,1,both,False,False,False,80,80,80,80,80,80,256.5,1.5,"fairy, mineral",heavy,,,,,,,,,,0
